title;minutes;date;views
Create a Jupyter Notebook in VS Code!;0:00:15;2021-08-03;36053
In defense of the ternary statement;0:01:50;2021-08-02;93974
Built-in JavaScript Debugging;0:00:48;2021-07-29;107569
Getting from code to cloud with VS Code and Pulumi;0:32:47;2021-07-28;7149
Let's write FizzBuzz;0:00:49;2021-07-26;53147
How to invert a binary tree - in 20 seconds;0:00:19;2021-07-23;309034
Type-safe Database access with Prisma;0:31:09;2021-07-22;5551
Intro to debuggers 🐛;0:01:08;2021-07-22;16311
Secret GitHub tip;0:00:23;2021-07-21;22419
Web Debugging in Visual Studio Code;0:32:46;2021-07-20;36534
"What is ""this""";0:02:00;2021-07-19;1035697
Your new VS Code theme;0:00:17;2021-07-15;28287
Trust yourself;0:01:02;2021-07-14;11878
VS Code 1.58 Release Party 🎉;0:35:20;2021-07-13;27169
Live preview;0:00:38;2021-07-12;35611
The top job posting for coders;0:01:00;2021-07-02;16556
Coding with help from AI 🧑‍✈️;0:00:54;2021-07-01;22482
Refactoring Python code;0:00:49;2021-06-30;73770
Build your first VS Code extension;1:07:53;2021-06-29;25359
Interview Trick Questions : JavaScript Edition;0:00:21;2021-06-29;11885
snaps you'd get from a comp sci major #shorts;0:00:32;2021-06-25;8677
10 things you didn't know about GitLens;0:34:13;2021-06-24;33284
Combining Find & Multiple Cursors;0:00:58;2021-06-22;40723
What are your top 5 themes?;0:00:57;2021-06-17;18387
Go: Writing and debugging fast, reliable and efficient software;0:29:19;2021-06-17;27009
GIF Guts;0:00:58;2021-06-16;51126
Boom;0:00:13;2021-06-14;92259
Browse and edit repos without cloning;0:00:42;2021-06-13;38927
New file who dis?;0:00:59;2021-06-11;162370
Remote Repositories for Visual Studio Code;0:06:48;2021-06-10;67138
VS Code 1.57 Release Party 🎉;0:39:14;2021-06-10;38021
¯\_(ツ)_/¯ your VS Code;0:00:47;2021-06-10;100462
Been doing it wrong this whole time?;0:00:30;2021-06-09;219158
Paste JSON as code;0:00:16;2021-06-08;72362
Golly;0:00:20;2021-06-05;208570
Protect your code time and stay in flow with Software.com in VS Code;0:31:42;2021-06-03;30885
The struggle;0:00:48;2021-06-03;30635
"""Git"" verified";0:00:57;2021-05-28;61032
Icon PSA;0:00:15;2021-05-18;18103
Zen Mode;0:00:13;2021-05-17;35904
Pylance: our new and improved Python experience in VS Code;0:30:07;2021-05-14;43134
VS Code 1.56 Release Party 🎉;0:29:02;2021-05-11;14076
.NET Interactive Notebooks with C#/F# in VS Code;0:30:25;2021-05-04;34792
You have options;0:00:11;2021-04-30;19209
Balance Out;0:00:53;2021-04-23;1134025
Enhance your coding demos!;0:00:14;2021-04-23;28630
Two things about Django;0:00:28;2021-04-20;12131
VS Code Notebooks: A Deep Dive;0:58:57;2021-04-15;53009
Want to learn TypeScript?;0:00:12;2021-04-12;18252
What are Notebooks?;0:00:32;2021-04-12;15973
Font ligatures!;0:00:47;2021-04-12;8410
Debug using Logpoints;0:00:53;2021-04-12;20927
No Python. No problem.;0:00:32;2021-04-12;21943
HTML preview in VS Code;0:00:57;2021-04-12;41939
Left side or right side?;0:00:31;2021-04-12;10682
What If?;0:00:15;2021-04-12;5864
Getting started with WSL - Part 2;0:00:57;2021-04-12;4495
Getting started with WSL - Part 1;0:00:59;2021-04-12;4567
Markdown Preview;0:00:28;2021-04-12;4972
The most downloaded VS Code extension;0:00:58;2021-04-12;25626
"What does a ""Content Developer"" do?";0:00:59;2021-04-12;5271
Listen to music while you code;0:00:47;2021-04-12;10306
How we get good performance with VS Code;0:00:57;2021-04-12;11534
Which Frontend framework does VS Code use?;0:00:51;2021-04-12;22229
What’s 🆕 in VS Code 🚀;0:00:47;2021-04-12;6787
VS Code 1.55 Release Party 🎉;0:29:54;2021-04-08;26242
Tabnine: Coding in VS Code with the help of an AI assistant;0:29:54;2021-03-25;25506
Debug a C++ project in VS Code;0:04:49;2021-03-15;94339
VS Code 1.54 Release Party 🎉;0:29:44;2021-03-11;16759
What frontend framework does VS Code use?;0:00:51;2021-03-11;4061
Tricks with VS Code and GitHub;0:00:59;2021-03-04;13160
"The true story of ""Hello, World!""";0:00:56;2021-03-04;11644
Use Emmet to quickly create an HTML file;0:00:35;2021-02-26;5347
How to use multiple cursors in VS Code;0:00:59;2021-02-22;86726
Visual Studio Code v1.53 Release Party 🎉;0:35:33;2021-02-10;16302
Notebooks in VS Code Are Getting Revamped!;0:12:44;2021-01-28;29084
Supercharge Your Docker Development with VS Code;0:16:22;2021-01-28;31166
